Variable Name,Model A,Model B,Model C,Model D,Model E,Model F
X1,100.0,99.9,90.5,98.5,88.6,97.8
X2,100.0,99.9,81.8,97.3,81.8,96.8
X3,100.0,99.9,95.7,99.9,95.6,99.8
X4,94.8,97.0,10.2,51.4,39.3,73.3
X5,98.4,98.4,81.8,85.9,81.9,86.1
X6,100.0,100.0,0.5,3.3,0.6,1.4
X7,35.3,31.2,67.3,84.0,29.4,37.7
X8,25.6,29.5,1.9,40.1,1.6,40.6
X9,20.7,25.6,3.5,67.9,3.6,69.4
X10,14.4,16.0,1.8,30.0,2.2,34.9
X11,18.8,17.0,4.1,27.7,3.3,25.9
X12,26.7,27.1,1.5,5.4,1.8,4.6
X13,7.8,9.1,4.7,12.6,4.6,11.2
X14,9.7,10.9,1.7,5.3,1.9,5.1
X15,0.0,0.0,0.5,1.9,0.7,2.2
X16,57.2,85.6,69.8,70.8,79.6,80.0
X17,17.4,21.7,16.4,23.5,18.4,23.1
X18,28.1,28.2,1.0,2.6,0.9,2.0
X19,45.1,31.4,31.2,32.0,23.8,24.5
X20,21.9,23.3,0.6,1.7,0.7,2.0
X21,25.2,26.4,2.4,4.8,2.0,4.0
X22,16.8,20.0,6.7,12.7,7.8,13.4
X23,13.7,20.5,1.0,1.8,8.9,13.8
X24,4.4,4.3,0.2,1.4,0.4,1.2
X25,17.5,10.9,11.2,13.3,10.2,11.5
X26,19.9,23.3,8.1,22.6,9.3,22.0
X27,14.0,11.4,8.4,9.5,7.8,8.9
X28,11.4,12.3,2.9,9.1,2.7,7.2
X29,10.6,8.2,3.6,5.4,3.9,5.4
X30,13.2,10.9,2.4,3.2,3.1,3.5
X31,18.6,17.0,0.0,0.0,0.0,0.0
X32,18.7,17.5,0.0,0.0,0.0,0.0
X33,21.7,21.5,0.0,0.0,0.0,0.0
X34,15.9,17.5,0.0,0.0,0.0,0.0
X35,27.8,27.9,0.4,6.7,0.3,6.2
X36,11.0,16.5,1.4,2.8,4.6,7.7
X37,21.3,23.6,0.0,0.0,0.0,0.0
X38,12.6,65.0,92.1,100.0,91.9,100.0
X39,25.3,26.1,0.0,0.0,0.0,0.0
X40,21.8,23.8,0.0,0.0,0.0,0.0
X41,15.6,17.1,4.3,12.3,4.6,11.0
X42,9.5,11.9,80.9,98.7,80.7,97.8
X43,10.7,11.9,1.4,5.6,1.5,4.1
